node_id,node_name,path,node_type,current_function,business_importance,criticality,business_rules,dependencies,test_protection,main_problem,optimization_opportunity,risk_of_change,recommended_v3_action,v3_migration_strategy,priority,estimated_effort,requires_business_decision,evidence,comments
PY-MOTOR-CALCULO,calcular_universo/calcular_componentes(),motor_tiquipaya.py,BUSINESS_RULE,UNIVERSO=SFC101+SFC102 movimiento; componentes=vouchers validos+CI operativas+ATC bruto+USD activo,ALTA,CRITICA,,,"tests/test_cruces.py, test_usd_caja_me.py",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:651-695,
PY-MOTOR-EJECUTARV2,ejecutar_v2()/_ejecutar_v2_sobre_cierre(),motor_tiquipaya.py,BUSINESS_RULE,Orquesta ETAPA2+3+4: cuadre = universo_ajustado - recaudacion_explicada; estado OK/DIFERENCIA/BLOQUEADO_EXCEPCION/INDETERMINADO/ERROR,ALTA,CRITICA,"USD/DOLARES>0 YA NO bloquea (regla post-ETAPA8, supersede USD_CUENTA_PENDIENTE)","excel_io.py (via ejecutar_v2), funciones internas del propio modulo","tests/test_cruces.py, test_usd_caja_me.py, test_regresion_sintetica.py",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:698-801,
PY-MOTOR-ASIENTO,construir_asiento(),motor_tiquipaya.py,BUSINESS_RULE,"ETAPA5: arma partidas CARGO/HABER (HABER SFC101/SFC102 ajustado por ALQUILERES, VOUCHER, CI, ATC_NETO/ATC_COMISION, DOLARES) SOLO si estado=OK, 0 excepciones y diferencia=0",ALTA,CRITICA,"fecha_valor: prioridad a la fecha REAL de origen (CI FECHA2, VOUCHER FECHA DE DEPOSITO); fallback=fecha del cierre solo si no hay fecha real (ETAPA8)",,"tests/test_asiento.py, test_etapa8_ajustes.py, test_usd_caja_me.py, test_texto_posicion_fecha_valor.py",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:1056-1249,
PY-MOTOR-VALIDARPARTIDAS,_validar_partidas(),motor_tiquipaya.py,CONTROL,"Guardarrailes del asiento: cargo=haber, sin ALQUILERES, sin importes negativos, sin cargo+haber simultaneo, cuenta esperada por origen (VOUCHER/ATC_NETO/ATC_COMISION/DOLARES/HABER)",ALTA,CRITICA,"REGLA B adyacente: ATC_COMISION debe usar 110201008 (validado aqui, y de nuevo en sap_writer como defensa en profundidad)",,tests/test_asiento.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:978-1017,"La validacion de cuenta ATC_COMISION se repite en sap_writer._validar_precondiciones (defensa en profundidad intencional, no duplicacion accidental)."
PY-MOTOR-LOTE,ejecutar_lote_v2(),motor_tiquipaya.py,BUSINESS_RULE,Optimizacion: procesa N cierres reutilizando MACROS/ATC ya cargados (evita reabrir archivos por cierre),MEDIA,MEDIA,,,,,"Si el volumen de cierres por batch crece, cablear run_batch.py a ejecutar_lote_v2() en vez de N llamadas a procesar_cierre_completo() ahorraria N-1 aperturas de MACROS/ATC.",MEDIO,REFACTOR,REFACTOR_LATER,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:1262-1334; run_batch.py:299-310,"Existe pero run_batch.py NO la usa (llama pipeline.procesar_cierre_completo() por cierre, que abre MACROS/ATC UNA vez por cierre, no una vez por lote). Posible oportunidad de rendimiento no aprovechada, o codigo muerto parcial — REQUIERE_VALIDACION_HUMANA."
PY-PIPE-MOD,pipeline_tiquipaya.py (modulo),pipeline_tiquipaya.py,BUSINESS_RULE,"ETAPA7: orquestacion operativa (idempotencia SHA256, resultado_json, manifiesto de publicacion, marcador PROCESADO). Nunca reinterpreta contabilidad.",ALTA,CRITICA,,"motor_tiquipaya.py, sap_writer.py, correcciones_tiquipaya.py, excel_io.py(via motor)","tests/test_pipeline_tiquipaya.py (32 tests), tests/test_batch.py",,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,pipeline_tiquipaya.py:1-703,
PY-PIPE-PROCESAR,procesar_cierre_completo(),pipeline_tiquipaya.py,BUSINESS_RULE,Idempotencia por SHA256 -> ejecutar_v2 -> construir_asiento -> generar_y_validar_sap -> resultado_json; NUNCA marca PROCESADO,ALTA,CRITICA,REGLA E: idempotencia por SHA256 (nunca por nombre de archivo),"motor.ejecutar_v2/construir_asiento, sap.generar_y_validar_sap",tests/test_pipeline_tiquipaya.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,pipeline_tiquipaya.py:233-388,
PY-PIPE-MARCADOR,construir_marcador_procesado()/nombre_marcador_procesado(),pipeline_tiquipaya.py,CONTROL,"REGLA F/E: construye (nombre,contenido) del marcador PROCESADO_<SHA256>.json solo si las 4 confirmaciones de publicacion ya ocurrieron; si no, ValueError, nunca construye a medias",ALTA,CRITICA,REGLA E+F combinadas: unico punto de creacion del marcador inmutable de publicacion,,"tests/test_pipeline_tiquipaya.py, tests/test_publicar_cierre.py",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,pipeline_tiquipaya.py:490-541,
PY-PIPE-CORRECCION,procesar_cierre_con_correccion(),pipeline_tiquipaya.py,BUSINESS_RULE,FASE3 Parte B: aplica 1 correccion EN MEMORIA (via correcciones_tiquipaya) y reprocesa con las MISMAS funciones de ETAPA3-6; rechaza si ya_publicado,ALTA,CRITICA,REGLA C+E: un cierre YA_PUBLICADO nunca admite correcciones nuevas,"correcciones_tiquipaya.py, motor_tiquipaya._ejecutar_v2_sobre_cierre/construir_asiento, sap_writer.py",tests/test_correcciones_tiquipaya.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,pipeline_tiquipaya.py:559-703,
PY-PIPE-CSVCONTROL,registrar_procesado()/CONTROL_PROCESAMIENTO.csv,pipeline_tiquipaya.py,OUTPUT,"Camino LEGACY/FALLBACK de control de procesamiento (pre-marcador inmutable, HANDOFF s10)",BAJA,BAJA,,,tests/test_pipeline_tiquipaya.py,,"Evaluar si retirar el parametro ruta_control/CSV en V3 (nunca usado en produccion segun run_batch.py) o documentarlo explicitamente como 'legacy, no usar'.",BAJO,DEPRECATE,RETIRE_AFTER_PARITY,P3,N/D (fuera de alcance de esta auditoria: solo diagnostico),SI,pipeline_tiquipaya.py:395-471; run_batch.py:299-310 (ruta_control=None),"run_batch.procesar_cierre() llama pipeline.procesar_cierre_completo(..., ruta_control=None,...) SIEMPRE: el camino CSV esta implementado y testeado pero no esta cableado en el runner productivo actual. El marcador PROCESADO_<SHA256>.json (HANDOFF s10) es el control real."
PY-SAP-MOD,sap_writer.py (modulo),sap_writer.py,BUSINESS_RULE,"ETAPA6: copia plantilla SAP, escribe partidas del asiento YA VALIDADO, reabre y valida contra disco (nunca confia en memoria)",ALTA,CRITICA,,excel_io.py(money_str),"tests/test_sap.py (30 tests), test_etapa8_ajustes.py",,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,sap_writer.py:1-481,
PY-SAP-PRECOND,_validar_precondiciones(),sap_writer.py,CONTROL,"Bloquea generacion si: asiento no OK, sin partidas, cargo!=haber, plantilla no encontrada/ilegible/sin hoja '1', metadata incompleta, o ATC_COMISION con cuenta 110201003",ALTA,CRITICA,"REGLA B: 110201003 prohibida SOLO si origen==ATC_COMISION (defensa en profundidad, no prohibicion global)",,tests/test_sap.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,sap_writer.py:140-185,
PY-SAP-ESCRIBIR,generar_sap()/_escribir_cabecera/_escribir_partidas(),sap_writer.py,OUTPUT,Copia plantilla (shutil.copyfile) y escribe SOLO columnas autorizadas; verifica que la plantilla original no cambio (hash antes/despues),ALTA,CRITICA,"REGLA D: original (plantilla) inmutable, verificado por hash",openpyxl,tests/test_sap.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,sap_writer.py:192-287,
PY-SAP-VALIDAR,validar_sap()/_validar_partidas_escritas/_validar_columnas_no_autorizadas(),sap_writer.py,CONTROL,Reabre el .xlsx REAL desde disco y compara celda a celda contra el asiento fuente + detecta escritura fuera de columnas autorizadas comparando contra la plantilla,ALTA,CRITICA,,openpyxl,tests/test_sap.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,sap_writer.py:294-448,
PY-CORR-MOD,"correcciones_tiquipaya.py (modulo, FASE3 Parte B)",correcciones_tiquipaya.py,BUSINESS_RULE,Valida schema+version_correccion+sha256_origen de una correccion del auditor y la aplica EN MEMORIA (deepcopy) sobre lo ya leido por excel_io; motor_tiquipaya NO se entera,ALTA,CRITICA,"REGLA C: solo cuenta_contable/asignacion (CI), codigo_informado-entre-candidatos (VOUCHER), *_cuenta_contable/*_asignacion (ATC); IMPORTES NUNCA corregibles",motor_tiquipaya.cruzar_vouchers (solo para validar candidatos),tests/test_correcciones_tiquipaya.py (17 tests),,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,correcciones_tiquipaya.py:1-377,
PY-CORR-CAMPOS,CAMPOS_CORREGIBLES (constante),correcciones_tiquipaya.py,BUSINESS_RULE,Fuente unica de verdad de que campo es corregible por categoria; leida en vivo por n8n via 'python3 -c import correcciones_tiquipaya' (Execute Command),ALTA,CRITICA,REGLA C,,,HANDOFF_CODE_V2.md desactualizado en este punto especifico (deuda documental).,"Corregir la tabla de HANDOFF_CODE_V2.md s16.3 para que diga 'cuenta_contable, asignacion' (sin glosa), o decidir explicitamente si 'glosa' deberia agregarse a CAMPOS_CORREGIBLES.",MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,correcciones_tiquipaya.py:79-86; HANDOFF_CODE_V2.md:1330-1334,
PY-RUNBATCH-MOD,"run_batch.py (modulo, CLI)",run_batch.py,INTEGRATION,"Runner canonico: recorre rango de fechas de un mismo mes, resuelve idempotencia via marcadores, llama pipeline por cierre, escribe resultado_batch.json",ALTA,CRITICA,,"pipeline_tiquipaya.py, excel_io.normalize_compact",tests/test_run_batch.py (29 tests),,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,run_batch.py:1-516,
PY-RUNBATCH-MARCADORES,cargar_marcadores_procesados()/_cargar_marcadores_de_directorio(),run_batch.py,CONTROL,Lee PROCESADO_<SHA256>.json desde --marcadores-dir (nuevo) con fallback a --controles-dir (legacy); un mismo hash en ambos lugares nunca se duplica,ALTA,CRITICA,REGLA E: fuente autoritativa de idempotencia en produccion,,tests/test_run_batch.py,,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,run_batch.py:189-262,
PY-RUNBATCH-MAESTRO,validar_maestro(),run_batch.py,CONTROL,"Verifica existencia, hoja ATC TIQUIPAYA presente, y coincidencia de mes por nombre de archivo (si es determinable); nunca corrige/adivina",ALTA,ALTA,,"openpyxl, normalize_compact",tests/test_run_batch.py,,,MEDIO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,run_batch.py:155-182,
PY-APLICARCORR-MOD,"aplicar_correccion.py (CLI, FASE3 Parte B)",aplicar_correccion.py,INTEGRATION,"CLI que valida consistencia --resultado/--correccion, rechaza si YA_PUBLICADO, resuelve idempotencia por (sha256_origen, version_correccion) via nombre de archivo de REPROCESOS/, y registra trazabilidad en CORRECCIONES_AUDITOR/",ALTA,CRITICA,REGLA C+E,"correcciones_tiquipaya.py, pipeline_tiquipaya.procesar_cierre_con_correccion, run_batch.py(reuso de helpers)","No tiene tests/test_aplicar_correccion.py dedicado; cubierto indirectamente por tests/test_correcciones_tiquipaya.py (la logica de negocio) pero el CLI en si (parsing de argv, --correccion-sin-version, registro de trazabilidad) no tiene test propio","Sin test de integracion end-to-end del propio CLI (argparse, registro CSV, idempotencia de archivo YA_APLICADA).","Agregar tests/test_aplicar_correccion.py que ejercite main() end-to-end (idempotencia YA_APLICADA, REPROCESO_CONFLICTO, CIERRE_YA_PUBLICADO_NO_CORREGIBLE).",ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,aplicar_correccion.py:1-311,
PY-PUBLICARCIERRE-MOD,publicar_cierre.py (CLI),publicar_cierre.py,INTEGRATION,"CLI minimo sobre pipeline.construir_marcador_procesado(): construye el marcador LOCAL, nunca sube a Drive",ALTA,CRITICA,REGLA F/E,pipeline_tiquipaya.py,tests/test_publicar_cierre.py (13 tests),,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,publicar_cierre.py:1-146,
PY-CONSOL-MOD,"consolidador_mensual.py (modulo, posterior al V2 diario)",consolidador_mensual.py,BUSINESS_RULE,Consolida SAP diarios YA VALIDADOS/PUBLICADOS en un NUEVO SAP_GLOBAL mensual; SAP diarios y plantilla SIEMPRE solo lectura; nunca agrupa partidas,ALTA,ALTA,"Riesgo de doble contabilizacion documentado explicitamente: GLOBAL reemplaza a los diarios, decision operativa fuera del script",openpyxl,tests/test_consolidador_mensual.py (50 tests),,,ALTO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,consolidador_mensual.py:1-632; HANDOFF_CODE_V2.md s13,
PY-CTRL1-MOD,control_asignaciones.py (CONTROL 1),control_asignaciones.py,CONTROL,Audita ZUONR(Asignacion) del GLOBAL: duplicados dentro del mes y contra HISTORICO_ASIGNACIONES.csv; corrige SOLO columna R tras validacion 100% humana en Excel/JSON,ALTA,ALTA,Exclusiones: SFC101/SFC102/TIQUIPAYA <MES>/cuenta 110201008; FORTALEZA SIEMPRE se evalua; GLOBAL read-only mientras haya alertas sin validar,openpyxl,tests/test_control_asignaciones.py (64 tests),,,MUY_ALTO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,control_asignaciones.py:1-1370; HANDOFF_CODE_V2.md s14,
PY-CTRL3-MOD,control_cxc_cxp.py (CONTROL 3),control_cxc_cxp.py,CONTROL,"Seguimiento acumulado CxC/CxP (6 cuentas fijas) leyendo el GLOBAL (solo lectura); calcula saldo acumulado, clasifica ABIERTO/CERRADO/REVISAR, permite cierre manual del auditor",ALTA,ALTA,"Idempotencia PENDIENTE->APLICADO por periodo+SHA (nunca por sha256_global_ultimo mutable — bug real ya corregido, ver HANDOFF s15)",openpyxl,tests/test_control_cxc_cxp.py (55-56 tests),,,ALTO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,control_cxc_cxp.py:1-1353; HANDOFF_CODE_V2.md s15,
PY-FRONTEND-MOD,n8n_frontend/revision_correccion.html,n8n_frontend/revision_correccion.html,UI_COMPONENT,"SPA estatica HTML/CSS/JS sin build ni framework; consume 5 endpoints n8n (/datos,/observacion,/pendiente,/corregir,/publicar-listos); nunca decide nada, solo pinta y valida forma minima de UI",MEDIA,MEDIA,Rutas SIEMPRE relativas (nunca dominio de Codespaces) para portabilidad a hosting futuro; modo ?demo=1 aislado del flujo real,n8n webhooks (FASE3 - Webhook *),NINGUNA (no hay test automatizado de frontend/JS en el repo; validacion es manual/visual segun HANDOFF s16.4 punto 5),"Sin autenticacion (diferida por diseño); localStorage usado solo para conveniencia (resultados_dir/auditor), no para nada critico.","Agregar aunque sea un smoke-test (ej. Playwright/puppeteer) para el flujo demo (?demo=1), que no depende de n8n ni Python.",MEDIO,KEEP,REUSE_AS_IS,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,n8n_frontend/revision_correccion.html:1-1087,
PY-HANDOFF-DOC,HANDOFF_CODE_V2.md,HANDOFF_CODE_V2.md,DATA_ARTIFACT,"Documento maestro de handoff: arquitectura, reglas tecnicas criticas, historial de etapas 1-16, contratos operativos",ALTA,ALTA,,,,"Documentacion desincronizada del working tree (deuda documental, no de codigo).","Actualizar la cabecera de la seccion 16 para reflejar que FASE 3 (Parte A y B) ya esta implementada, o agregar una seccion 17 nueva que lo confirme.",BAJO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,HANDOFF_CODE_V2.md:1216-1222 vs working tree completo,
PY-STARTN8N,scripts/start_n8n.sh,scripts/start_n8n.sh,INTEGRATION,"Arranque reproducible de n8n self-hosted para el POC (NODES_EXCLUDE vacio para habilitar Execute Command, N8N_RESTRICT_FILE_ACCESS_TO ampliado, N8N_EDITOR_BASE_URL/WEBHOOK_URL derivados del Codespace)",ALTA,ALTA,,n8n (binario),,"La habilitacion de Execute Command es a nivel de INSTANCIA n8n, no por workflow: no hay aislamiento entre el POC y cualquier otro workflow futuro en el mismo Codespace.",,MEDIO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,scripts/start_n8n.sh:1-30,
N8N-51a885e8-7baf-41ca-925a-4ac4f1d184a2,INICIO - Procesar cierres,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",N8N_NODE,Disparo manual desde el editor n8n (uso dev/test),BAJA,BAJA,,,NINGUNA (n8n no tiene test runner propio en este repo),,,MEDIO,KEEP,KEEP_IN_N8N,P3,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'INICIO - Procesar cierres'",
N8N-ff420bb6-d90f-4320-a213-6b207bb22d47,PARAMETROS - Rango y rutas,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",DATA_ARTIFACT,Define/normaliza campos (parametros o resultado literal),MEDIA,MEDIA,,,NINGUNA (n8n no tiene test runner propio en este repo),,,MEDIO,KEEP,KEEP_IN_N8N,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'PARAMETROS - Rango y rutas'",
N8N-22001b51-32e0-4c2a-bb28-a208d511bf90,EJECUTAR - Motor Python,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",INTEGRATION,"Ejecuta comando shell/CLI: =cd /workspaces/caja-tiquipaya-v2 && /workspaces/.venv-caja/bin/python3 run_batch.py --fecha-inicio ""{{ $json.fecha_inicio }}"" --fecha-fin ""{{ $json.fecha_fin }}"" --cierres-dir ""{{",ALTA,CRITICA,Orquesta la ejecucion de run_batch.py sobre un rango de fechas de un mismo mes,run_batch.py,"run_batch.py tiene 29 tests propios (tests/test_run_batch.py), pero ninguno cubre la superficie de inyeccion vía n8n Execute Command (ese wiring no tiene test).","Los parametros (fecha_inicio/fin, rutas) llegan de un Set anterior sin validacion de forma (regex fecha, path traversal) antes de interpolarse en el comando.","Añadir validacion de forma de cada parametro antes del Execute Command, o mover a un wrapper que use subprocess con lista de argv (sin shell) en vez de string interpolado.",ALTO,KEEP,KEEP_IN_N8N,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'EJECUTAR - Motor Python'",
N8N-3b512bde-db76-4319-b8b2-76e936cb387e,ERROR TECNICO - Revisar ejecucion,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",DATA_ARTIFACT,Define/normaliza campos (parametros o resultado literal),MEDIA,MEDIA,,,NINGUNA (n8n no tiene test runner propio en este repo),,,MEDIO,KEEP,KEEP_IN_N8N,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'ERROR TECNICO - Revisar ejecucion'",
N8N-ad5ed279-ca87-4bf8-ab47-b27e71b7c65e,LEER - Resultado del batch,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",DATA_ARTIFACT,Lee/escribe archivo local (?),MEDIA,MEDIA,,,NINGUNA (n8n no tiene test runner propio en este repo),,,MEDIO,KEEP,KEEP_IN_N8N,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'LEER - Resultado del batch'",
N8N-4b700758-a32e-4734-897a-c930dcf5f2c5,INTERPRETAR - JSON del motor,"TIQ · PROCESAR CIERRES PENDIENTES · POC (n8n, LkS0RHu9KEbHCR4p)",DATA_ARTIFACT,Convierte binario a JSON (fromJson),MEDIA,MEDIA,,,NINGUNA (n8n no tiene test runner propio en este repo),,,MEDIO,KEEP,KEEP_IN_N8N,P2,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"n8n sqlite workflow_entity.nodes/connections, id LkS0RHu9KEbHCR4p, node 'INTERPRETAR - JSON del motor'",
