rule_id,rule_name,description,implemented_in,function,n8n_node,affected_inputs,expected_result,criticality,tests,duplicated,duplicate_locations,risk_if_changed,evidence_type,evidence_location,notes
BR-011,ATC NETO<->MACROS: fecha bancaria nunca ANTERIOR a la fecha de cierre,"En modo LEGADO, el NETO ATC se busca en MACROS por importe exacto + fecha bancaria >= fecha de cierre (fechas posteriores validas); sin ventana arbitraria de dias.",motor_tiquipaya.py,cruzar_atc(),N/A,"atc_idx, macros_idx",ATC_SIN_CANDIDATO / ATC_MULTIPLE / match unico,ALTA,tests/test_cruces.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,motor_tiquipaya.py:261-281,
BR-012,ATC PRECONCILIADO: nunca se cruza contra MACROS,"Cuando el maestro trae la hoja 'ATC TIQUIPAYA', cuenta/detalle/monto/asignacion del NETO y COMISION se toman literales; unico control es NETO+COMISION=BRUTO.","excel_io.py, motor_tiquipaya.py","leer_atc_mensual() (deteccion de modo), cruzar_atc_preconciliado()",N/A,hoja ATC TIQUIPAYA del maestro,asignacion 'REVISAR' se conserva literal + advertencia (no bloqueante),ALTA,tests/test_atc_preconciliado.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,excel_io.py:568-610; motor_tiquipaya.py:301-365,
BR-013,CI: fecha_valor y texto_posicion nunca inventados,"CI: fecha_valor viene de FECHA2 (autoritativa, con fallback a variantes viejas SOLO si no hay FECHA2); texto_posicion viene literal de GLOSA ASIENTO COMUNICACIONES INTERNAS, nunca reconstruido desde N° DE FACTURA.","excel_io.py, motor_tiquipaya.py","_leer_comunicaciones_internas(), construir_asiento()",N/A,columnas GLOSA.../FECHA2 de la hoja CI,partida CI con texto_posicion/fecha_valor literales de esas columnas,ALTA,tests/test_texto_posicion_fecha_valor.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,excel_io.py:264-359; motor_tiquipaya.py:1148-1160,
BR-014,VOUCHER: fecha_valor y texto_posicion desde FECHA DE DEPOSITO (nunca fecha bancaria MACROS),"fecha_valor y texto_posicion ('DEPOSITO BNB DD/MM/YYYY') del VOUCHER usan la fecha PROPIA del deposito, nunca la fecha bancaria encontrada en MACROS.",motor_tiquipaya.py,"_texto_voucher(), construir_asiento()",N/A,dep.fecha_deposito,texto_posicion/fecha_valor derivados de FECHA DE DEPOSITO,ALTA,tests/test_texto_posicion_fecha_valor.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,"motor_tiquipaya.py:951-958,1126-1139",
BR-015,"Fallback fecha_valor = fecha del cierre (ETAPA 8, supersede regla previa)","Toda partida SIN fecha real propia (HABER SFC101/SFC102, ATC sin fecha bancaria, DOLARES) recibe como fecha_valor la fecha del cierre; una fecha real existente NUNCA se reemplaza.",motor_tiquipaya.py,construir_asiento() (loop final de fecha_valor),N/A,partidas sin fecha_valor propia,fecha_valor = fecha_cierre solo si estaba vacio,ALTA,"tests/test_etapa8_ajustes.py, test_asiento.py",NO,,MEDIO,CONFIRMADO_POR_CODIGO,motor_tiquipaya.py:1204-1213,
BR-016,"USD/DOLARES: partida DEBE unica, sin conciliar contra banco (post-ETAPA 8)","DOLARES>0.00 genera una unica partida DEBE cuenta 110101010 'Caja M/E', sin asignacion, fecha_valor=fecha del cierre. Ya NO bloquea (supersede USD_CUENTA_PENDIENTE descartada).",motor_tiquipaya.py,"construir_asiento() (bloque DOLARES), calcular_componentes()",N/A,cierre.sfc10x.dolares,partida DOLARES si >0; ninguna si =0.00,ALTA,tests/test_usd_caja_me.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,"motor_tiquipaya.py:917-933,1193-1202; HANDOFF s11",
BR-017,_validar_partidas: cuenta esperada por origen (defensa en profundidad),"Cada tipo de partida debe usar su cuenta contable esperada (HABER=110101001, VOUCHER/ATC_NETO=110103012, ATC_COMISION=110201008, DOLARES=110101010); si no, el asiento entero pasa a ERROR con partidas=[] (nunca partidas invalidas utilizables).",motor_tiquipaya.py,_validar_partidas(),N/A,partidas construidas,asiento.estado=ERROR y partidas=[] si hay cualquier problema,CRITICA,tests/test_asiento.py,"SI (defensiva, repetida en sap_writer)","sap_writer.py:68-72,182-183",MUY_ALTO,CONFIRMADO_POR_CODIGO,"motor_tiquipaya.py:917-921,978-1017",
BR-018,CONTROL 1: exclusiones fijas de duplicados de Asignacion,"Nunca se marca duplicado: SFC101, SFC102, 'TIQUIPAYA <MES>' (12 abreviaturas oficiales), y CUALQUIER partida con cuenta_mayor==110201008 (exclusion POR CUENTA, sin importar el texto de Asignacion). FORTALEZA SIEMPRE se evalua (no esta excluida).",control_asignaciones.py,es_excluida(),"N/A (Skill externa auditor-caja-tiquipaya, fuera de este repo)","asignacion, cuenta_mayor de cada partida del GLOBAL",partida excluida de deteccion de duplicados si aplica alguna de las 4 reglas,ALTA,tests/test_control_asignaciones.py,NO,,ALTO,CONFIRMADO_POR_MULTIPLES_FUENTES,"control_asignaciones.py:159-166,319-332; HANDOFF s14",
BR-019,"CONTROL 1: correccion del GLOBAL solo tras validacion humana 100%, todo-o-nada","El GLOBAL es solo lectura mientras haya alertas sin validar; la correccion (columna R unicamente) solo se aplica cuando TODAS las alertas del periodo estan resueltas (CORRECTA/INCORRECTA), verificando antes que cada celda siga igual al valor original; si una sola verificacion falla, no se aplica ninguna.",control_asignaciones.py,"aplicar_correcciones_global(), ejecutar_control()",N/A,REVISION_ASIGNACIONES_<PERIODO>.xlsx o --revision-json,"GLOBAL corregido solo en columna R, o CorreccionInvalidaError sin escribir nada",CRITICA,tests/test_control_asignaciones.py (64 tests),NO,,MUY_ALTO,CONFIRMADO_POR_MULTIPLES_FUENTES,control_asignaciones.py:377-414; HANDOFF s14,
BR-020,CONTROL 3: idempotencia PENDIENTE->APLICADO por periodo+SHA (no por campos mutables),La idempotencia de un periodo NUNCA se decide con sha256_global_ultimo/periodo_ultimo_movimiento (mutables); se usa exclusivamente HISTORICO_CXC_CXP_PERIODOS.json con transaccion de 2 fases. Bug real ya corregido: un movimiento posterior de la misma llave en otro periodo ya no puede hacer reacumular un periodo antiguo.,control_cxc_cxp.py,"_estado_idempotencia(), _historico_ya_refleja_periodo()",N/A,"periodo, sha256_global",YA_PROCESADO_SIN_CAMBIOS / GLOBAL_MODIFICADO_REQUIERE_REVISION / reprocesa,CRITICA,tests/test_control_cxc_cxp.py::TestConsistenciaHistoricoPeriodos (5 tests),NO,,MUY_ALTO,CONFIRMADO_POR_MULTIPLES_FUENTES,control_cxc_cxp.py:604-673; HANDOFF s15,Documentado explicitamente en HANDOFF como bug real detectado y corregido (AGOSTO se reacumulaba tras un movimiento de SEPTIEMBRE): valioso como caso de regresion critico a NUNCA revertir en V3.
BR-021,CONTROL 3: cierre manual por auditor via OBSERVACION_AUDITOR,"Un texto que EMPIEZA con 'CERRADO MANUALMENTE' (case-insensitive, tolerante a tildes solo para comparar) marca la llave como cerrada manualmente sin alterar el saldo contable real; cualquier movimiento posterior la reabre forzando REVISAR.",control_cxc_cxp.py,"_es_cierre_manual(), aplicar_observaciones()",N/A,OBSERVACION_AUDITOR,cierre_manual='SI' + ESTADO mostrado='CERRADO MANUALMENTE'; reaparece con REVISAR forzado si hay movimiento posterior,ALTA,tests/test_control_cxc_cxp.py::TestCierreManual (8 tests),NO,,ALTO,CONFIRMADO_POR_MULTIPLES_FUENTES,control_cxc_cxp.py:997-1034(aprox); HANDOFF s15,
BR-022,Marcadores PROCESADO: migracion de ubicacion sin romper legacy,Los marcadores nuevos DEBEN ir en 05_CONTROLES/MARCADORES_PROCESAMIENTO/; la raiz de 05_CONTROLES/ queda solo como FALLBACK de lectura de marcadores legacy (nunca se borran/mueven automaticamente). Un mismo hash en ambos lugares nunca se cuenta dos veces.,run_batch.py,"cargar_marcadores_procesados(), _cargar_marcadores_de_directorio()",N/A,"--controles-dir, --marcadores-dir",set unico de hashes_procesados sin duplicados entre ubicaciones,ALTA,tests/test_run_batch.py,NO,,MEDIO,CONFIRMADO_POR_CODIGO,run_batch.py:189-262; HANDOFF s12,
BR-023,Rango de batch nunca cruza mes,"run_batch.py exige que fecha_inicio y fecha_fin pertenezcan al mismo mes; si cruzan, se detiene con RANGO_CRUZA_MES sin combinar maestros mensuales distintos.",run_batch.py,generar_rango_fechas(),N/A,--fecha-inicio/--fecha-fin,RuntimeError/ValueError RANGO_CRUZA_MES,ALTA,tests/test_run_batch.py,NO,,MEDIO,CONFIRMADO_POR_CODIGO,run_batch.py:61-84,
BR-024,Correccion: cierre YA_PUBLICADO nunca admite correccion nueva,"Si el HashOrigen del cierre ya tiene un marcador PROCESADO_<hash>.json, tanto pipeline.procesar_cierre_con_correccion() como aplicar_correccion.py rechazan cualquier correccion nueva con CIERRE_YA_PUBLICADO_NO_CORREGIBLE.","pipeline_tiquipaya.py, aplicar_correccion.py","procesar_cierre_con_correccion(), main()",n8n: FASE3 - Ejecutar aplicar_correccion.py (via --controles-dir),ya_publicado (bool),ValueError/salida ERROR CIERRE_YA_PUBLICADO_NO_CORREGIBLE,CRITICA,tests/test_correcciones_tiquipaya.py,NO,,MUY_ALTO,CONFIRMADO_POR_CODIGO,pipeline_tiquipaya.py:608-612; aplicar_correccion.py:220-238,
BR-025,version_correccion: hash determinístico de la decision (no de metadata),"version_correccion = SHA256 de {categoria,tipo,identificadores,campo_corregido,valor_autorizado} exclusivamente; motivo/usuario_auditor/fecha_hora NUNCA entran al hash (son metadata de auditoria, no la decision).",correcciones_tiquipaya.py,calcular_version_correccion(),N/A,los 5 campos de _CAMPOS_VERSION,"mismo hash para la misma decision exacta, independientemente de quien/cuando la autorizo",ALTA,tests/test_correcciones_tiquipaya.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,correcciones_tiquipaya.py:97-117,
BR-026,Publicacion multiple (FASE 3 Parte A): batch_token como control de concurrencia optimista,"Antes de publicar en lote, se recalcula el SHA256 de resultado_batch.json y se compara contra el batch_token que el frontend recibio al cargar /datos; si no coincide, BATCH_DESACTUALIZADO y no se publica nada.",n8n (Execute Command + Code),"N/A (logica en n8n, no Python)","FASE3 - Calcular batch_token actual (publicar), FASE3 - Validar batch_token (publicar), IF - Batch token coincide (publicar)",resultado_batch.json en disco vs batch_token recibido,BATCH_DESACTUALIZADO si no coincide,ALTA,Sin test automatizado (logica en n8n),NO,,ALTO,CONFIRMADO_POR_N8N,"n8n workflow LkS0RHu9KEbHCR4p, nodos FASE3 - *batch_token*",
